Country,HasMentalHealthSupport
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,No
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,No
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,No
Canada,Yes
Canada,No
Canada,Yes
Canada,Yes
